Ligand	1_Energy	Mass
ZINC09168288	-12	429,284
ZINC63230342	-12	440,353
ZINC10578766	-12	478,303
ZINC21707631	-11,9	350,272
ZINC36682231	-11,8	395,29
ZINC09816017	-11,8	405,311
ZINC36682252	-11,8	429,352
ZINC02352829	-11,8	419,739
ZINC02632359	-11,8	421,294
ZINC09168316	-11,8	451,311
ZINC95476565	-11,7	456,333
ZINC59513058	-11,7	478,326
ZINC09339473	-11,7	419,312
ZINC31749240	-11,7	434,326
ZINC21707639	-11,7	388,301
ZINC36682287	-11,7	441,363
ZINC12515747	-11,6	441,363
ZINC60142109	-11,6	448,724
ZINC89998467	-11,6	326,273
ZINC89866570	-11,6	412,32
ZINC12125330	-11,6	398,292
ZINC01051239	-11,6	384,287
ZINC33025157	-11,5	425,314
ZINC03086888	-11,5	400,332
ZINC20837139	-11,5	481,377
ZINC36682256	-11,5	429,352
ZINC49481916	-11,5	365,287
ZINC36682258	-11,5	429,352
ZINC05288595	-11,5	383,297
ZINC77914780	-11,5	379,293
ZINC13098855	-11,5	432,331
ZINC19796565	-11,5	446,359
ZINC11222162	-11,5	479,289
ZINC09319362	-11,5	458,37
ZINC20859188	-11,5	445,351
ZINC39574772	-11,4	365,287
ZINC20580792	-11,4	409,364
ZINC20859148	-11,4	421,329
ZINC09816022	-11,4	407,304
ZINC59513061	-11,4	478,326
ZINC38778846	-11,4	383,346
ZINC89792793	-11,4	339,269
ZINC39617186	-11,4	452,146
ZINC11912379	-11,4	401,32
ZINC14812528	-11,4	421,304
ZINC00998910	-11,4	349,284
ZINC21763282	-11,4	357,261
ZINC84247700	-11,4	377,298
ZINC46124201	-11,4	469,44
ZINC21707642	-11,4	383,279
ZINC41015717	-11,3	411,356
ZINC20580778	-11,3	404,34
ZINC08190648	-11,3	392,309
ZINC71963192	-11,3	420,323
ZINC20580795	-11,3	409,364
ZINC12894117	-11,3	427,359
ZINC77906117	-11,3	407,304
ZINC00829252	-11,3	366,292
ZINC41127010	-11,3	448,38
ZINC77906131	-11,3	410,276
ZINC77906132	-11,3	384,29
ZINC09952399	-11,3	463,381
ZINC03372777	-11,3	437,304
ZINC02874089	-11,3	373,26
ZINC39574773	-11,2	365,287
ZINC36682227	-11,2	465,385
ZINC88338001	-11,2	346,241
